#Material: DUPLEX 
#Force:	 Phase:	  hkl:	 phi:	psi:	strain:	   strain error:	stress:	    stress error:
10.0      Fe_FCC   2 2 2  180      0      0.0020847  0.0003225        353677651   18862808
10.0      Fe_FCC   2 2 2  180     15      0.0006321  0.0008389        353677651   18862808
10.0      Fe_FCC   2 2 2  180     45      0.0005353  0.0006103        353677651   18862808
10.0      Fe_FCC   2 2 2  180     60      0.0002755  0.0003751        353677651   18862808
10.0      Fe_FCC   3 1 1  180     15      0.0016632  0.0003493        353677651   18862808
10.0      Fe_FCC   3 1 1  180     30      0.0016840  0.0002395        353677651   18862808
10.0      Fe_FCC   3 1 1  180     60     -0.0002179  0.0003777        353677651   18862808
10.0      Fe_FCC   3 1 1  180     75     -0.0006839  0.0002192        353677651   18862808
10.0      Fe_FCC   3 1 1  180     90     -0.0005889  0.0005075        353677651   18862808
10.0      Fe_FCC   3 3 1  180     45      0.0004108  0.0007595        353677651   18862808
10.0      Fe_FCC   3 3 1  180     75     -0.0008075  0.0009786        353677651   18862808
10.0      Fe_FCC   4 2 0  180     90     -0.0010030  0.0007508        353677651   18862808
